StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q6
2024-11-08 10:26:23,2024-11-08 10:27:54,IP Address,5.182.32.12,100,90,True,2024-11-08 10:27:54,R_7vrhKlSB7gX67fj,,,,,35.2316,-80.8428,anonymous,EN,25-34,Master's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",1,5,3,1,3,1,1,1,1,1,1,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment,Marketing of new products and services,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:26:28,2024-11-08 10:28:05,IP Address,106.222.228.112,100,97,True,2024-11-08 10:28:06,R_4MMOUZPKaU3yOtA,,,,,17.3724,78.4378,anonymous,EN,,Other,,,,2,,,,,,,,,,,,,,,
2024-11-08 10:26:36,2024-11-08 10:28:25,IP Address,76.38.16.139,100,108,True,2024-11-08 10:28:25,R_3iqfKWUWagaeulr,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",,,,0,,,,,,,,Biometric information,,,Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:28:10,2024-11-08 10:29:11,IP Address,107.13.161.230,100,61,True,2024-11-08 10:29:12,R_863eRyPPJ8aQ4ub,,,,,35.7614,-78.6015,anonymous,EN,,,,,,,,,,,,,,,,,,,,,
2024-11-08 10:27:13,2024-11-08 10:29:13,IP Address,107.13.170.210,100,120,True,2024-11-08 10:29:14,R_6hV4ezIDHnUHsU9,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Yes, once",5,5,5,5,5,4,3,5,5,5,5,Biometric information,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:26:38,2024-11-08 10:31:06,IP Address,122.164.192.95,100,268,True,2024-11-08 10:31:07,R_4t1nlaVmagjChfH,,,,,17.3724,78.4378,anonymous,EN,35-44,Master's Degree,Somewhat comfortable,"Yes, once",1,5,5,4,4,1,3,3,1,3,3,Biometric information,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:29:45,2024-11-08 10:31:50,IP Address,152.7.255.193,100,124,True,2024-11-08 10:31:51,R_103wwnjJkR5QCml,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",1,5,3,1,1,3,3,3,1,3,3,Biometric information,,"Opening an account,Loan application,Credit scoring and risk assessment,Marketing of new products and services,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:29:12,2024-11-08 10:31:55,IP Address,152.7.255.196,100,162,True,2024-11-08 10:31:55,R_5IWAKfqlVwM0cR6,,,,,35.7633,-78.71,anonymous,EN,25-34,Master's Degree,Somewhat comfortable,"No, never",,5,,,5,,,,,,,Social Security Number,,Opening an account,Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 10:30:31,2024-11-08 10:32:22,IP Address,172.59.223.26,100,110,True,2024-11-08 10:32:22,R_5974js3bEwdwOmB,,,,,35.2426,-80.741,anonymous,EN,18-24,Master's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",1,1,1,1,3,1,1,1,1,1,1,Social Security Number,,Opening an account,Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Prefer not to answer
2024-11-08 10:30:27,2024-11-08 10:32:45,IP Address,107.115.227.117,100,137,True,2024-11-08 10:32:46,R_3LHV9Vk3gkB2c4F,,,,,25.7612,-80.3137,anonymous,EN,25-34,Master's Degree,Somewhat comfortable,"No, never",1,5,5,5,5,5,5,5,1,1,1,Social Security Number,,"Opening an account,Loan application,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:32:05,2024-11-08 10:36:51,IP Address,106.222.228.112,100,285,True,2024-11-08 10:36:51,R_4muPNzzI8ejVJ97,,,,,17.3724,78.4378,anonymous,EN,25-34,Bachelor's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",5,4,5,4,4,4,4,4,4,4,4,Personal Address,,Opening an account,Not at all important,"Traditional PIIs like passwords, email, phone, etc be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 10:35:16,2024-11-08 10:37:05,IP Address,71.251.209.20,100,109,True,2024-11-08 10:37:06,R_3dnWaowXLWeP2PP,,,,,40.7182,-74.0476,anonymous,EN,25-34,Master's Degree,Somewhat comfortable,Not sure,3,4,4,3,5,4,3,3,1,2,3,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:39:04,2024-11-08 10:41:21,IP Address,152.7.255.202,100,136,True,2024-11-08 10:41:22,R_3swrgDufW8ncq8F,,,,,35.7633,-78.71,anonymous,EN,25-34,Master's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",1,1,1,1,1,1,1,1,1,1,1,Social Security Number,,"Opening an account,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Prefer not to answer
2024-11-08 10:41:42,2024-11-08 10:43:12,IP Address,76.38.16.69,100,89,True,2024-11-08 10:43:13,R_6Gqe3b3VaZ9zjk2,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",5,2,2,2,2,2,2,2,4,4,4,Social Security Number,,Opening an account,Very important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 10:39:06,2024-11-08 10:43:43,IP Address,69.166.116.101,100,277,True,2024-11-08 10:43:44,R_7gOAsbNxNb55lvb,,,,,43.6547,-79.3623,anonymous,EN,35-44,Master's Degree,Extremely comfortable,"No, never",,5,5,5,5,5,3,5,3,5,4,Social Security Number,,"Opening an account,Loan application,Marketing of new products and services,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:30:59,2024-11-08 10:48:25,IP Address,152.58.50.192,100,1045,True,2024-11-08 10:48:26,R_4FEfEX56uAL3WzD,,,,,19.0748,72.8856,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Yes, multiple times",1,5,3,2,4,2,4,1,1,1,1,Personal Address,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:46:15,2024-11-08 10:48:39,IP Address,152.7.255.196,100,143,True,2024-11-08 10:48:39,R_11gpm8p6iQZogEm,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",1,4,2,2,4,4,2,1,1,1,1,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:48:24,2024-11-08 10:50:24,IP Address,162.120.144.96,100,120,True,2024-11-08 10:50:24,R_7QQP6o8P9uRmqBo,,,,,35.7965,-78.7981,anonymous,EN,18-24,Master's Degree,Extremely uncomfortable,"Yes, multiple times",1,5,2,1,4,1,5,5,1,1,1,Date of Birth,,Opening an account,Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:48:51,2024-11-08 10:51:29,IP Address,172.58.254.9,100,158,True,2024-11-08 10:51:29,R_5Ua6UHs84U7G41c,,,,,35.2916,-80.8201,anonymous,EN,18-24,Master's Degree,Somewhat comfortable,"Not personally, but I know someone who has",,4,4,0,4,,,,,,,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:48:26,2024-11-08 10:51:32,IP Address,152.7.255.197,100,186,True,2024-11-08 10:51:32,R_53xAy9pvZniMgMN,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat comfortable,"Not personally, but I know someone who has",2,5,4,4,4,5,3,3,2,2,3,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment",Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 10:49:37,2024-11-08 10:52:09,IP Address,107.13.169.31,100,151,True,2024-11-08 10:52:10,R_7M4YJIKJqFCpzhC,,,,,35.7633,-78.71,anonymous,EN,25-34,Master's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",3,5,5,4,5,5,3,4,3,5,4,Social Security Number,,"Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:52:24,2024-11-08 10:53:52,IP Address,184.185.222.8,100,87,True,2024-11-08 10:53:52,R_1c7KoGCt4oIydtD,,,,,29.6475,-82.404,anonymous,EN,18-24,Master's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",,1,,,,,,,,,,Social Security Number,,Opening an account,Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:54:51,2024-11-08 10:56:38,IP Address,152.7.255.197,100,107,True,2024-11-08 10:56:39,R_6MicyD8V5H90lzv,,,,,35.7633,-78.71,anonymous,EN,18-24,Master's Degree,Extremely comfortable,"No, never",5,5,5,5,5,5,5,5,5,5,5,Social Security Number,,"Opening an account,Loan application",Slightly important,"Traditional PIIs like passwords, email, phone, etc be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 10:55:15,2024-11-08 10:56:48,IP Address,69.132.183.77,100,93,True,2024-11-08 10:56:49,R_1UgXFqS0L1yxSmX,,,,,35.1947,-80.744,anonymous,EN,18-24,Master's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",2,3,2,2,2,2,1,2,1,2,2,Social Security Number,,"Opening an account,Loan application",Moderately important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 10:51:36,2024-11-08 10:56:56,IP Address,172.56.75.231,100,320,True,2024-11-08 10:56:57,R_51gl8KQvSRud989,,,,,28.5521,-81.301,anonymous,EN,18-24,Master's Degree,Somewhat comfortable,"Yes, multiple times",3,5,4,4,4,4,4,1,1,1,1,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:01:29,2024-11-08 11:03:18,IP Address,76.38.17.148,100,109,True,2024-11-08 11:03:18,R_6TZaesTUVZrCwOV,,,,,35.7633,-78.71,anonymous,EN,18-24,Master's Degree,Somewhat uncomfortable,"No, never",1,1,1,1,1,1,1,1,1,1,1,Date of Birth,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Prefer not to answer
2024-11-08 11:00:16,2024-11-08 11:03:48,IP Address,152.59.34.72,100,211,True,2024-11-08 11:03:49,R_4e2nO5ZWZPOP7XD,,,,,21.1888,72.8293,anonymous,EN,25-34,Bachelor's Degree,Somewhat uncomfortable,Not sure,2,4,1,4,1,1,4,1,1,1,1,Personal Address,,Opening an account,Moderately important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:05:54,2024-11-08 11:08:35,IP Address,172.59.208.218,100,161,True,2024-11-08 11:08:36,R_5FRT67hXiGzH57P,,,,,40.7597,-74.1836,anonymous,EN,25-34,Master's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",0,3,0,0,3,1,3,2,0,0,0,Social Security Number,,"Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:11:13,2024-11-08 11:12:27,IP Address,76.38.16.89,100,74,True,2024-11-08 11:12:28,R_1DEeBQrIHMkXl8B,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",1,5,3,5,3,1,4,1,1,1,1,Social Security Number,,Credit scoring and risk assessment,Moderately important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:11:20,2024-11-08 11:13:10,IP Address,76.38.17.148,100,110,True,2024-11-08 11:13:11,R_6tfd7T1DWgn3XcZ,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Not personally, but I know someone who has",1,5,3,3,5,5,5,3,1,1,1,Biometric information,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Slightly important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:11:05,2024-11-08 11:14:49,IP Address,172.225.111.86,100,223,True,2024-11-08 11:14:49,R_7DhwWZ3nBiLdZrc,,,,,36.0972,-80.2361,anonymous,EN,18-24,Master's Degree,Somewhat comfortable,"No, never",1,5,4,4,2,3,1,3,1,1,1,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:16:59,2024-11-08 11:19:51,IP Address,172.59.70.143,100,171,True,2024-11-08 11:19:51,R_1irIZ2tEJzx9yvi,,,,,30.2755,-81.5815,anonymous,EN,18-24,Master's Degree,Somewhat comfortable,"Not personally, but I know someone who has",1,5,5,4,5,5,4,3,4,4,3,Social Security Number,,Opening an account,Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:23:23,2024-11-08 11:25:09,IP Address,152.7.255.196,100,105,True,2024-11-08 11:25:09,R_7DqjyKGuuc3ALyn,,,,,35.7633,-78.71,anonymous,EN,25-34,Master's Degree,Somewhat comfortable,"No, never",0,2,1,0,3,1,2,2,0,0,0,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Not currently working in or pursuing a career in Tech
2024-11-08 11:28:37,2024-11-08 11:31:10,IP Address,172.59.218.74,100,153,True,2024-11-08 11:31:11,R_6rlghSBoIF6Devi,,,,,35.2916,-80.8201,anonymous,EN,25-34,Bachelor's Degree,Somewhat comfortable,"Yes, once",2,5,5,3,5,4,4,4,1,2,3,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 11:59:12,2024-11-08 12:04:39,IP Address,103.181.54.47,100,327,True,2024-11-08 12:04:40,R_4O2lL9padNBq4Q0,,,,,19.0748,72.8856,anonymous,EN,18-24,Master's Degree,Neither comfortable nor uncomfortable,"Not personally, but I know someone who has",0,5,0,0,0,0,0,0,0,0,0,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 12:06:05,2024-11-08 12:07:33,IP Address,49.43.234.115,100,87,True,2024-11-08 12:07:33,R_4Rw53p3C174vZgv,,,,,17.3724,78.4378,anonymous,EN,18-24,Bachelor's Degree,Neither comfortable nor uncomfortable,"No, never",1,5,1,1,3,2,2,1,1,1,1,Social Security Number,,,,,
2024-11-08 12:08:12,2024-11-08 12:10:43,IP Address,76.38.17.15,100,151,True,2024-11-08 12:10:44,R_7yK9uLwtZqBx13b,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Extremely comfortable,Not sure,1,0,0,5,5,5,5,5,3,3,4,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 12:16:19,2024-11-08 12:19:22,IP Address,152.7.255.197,100,182,True,2024-11-08 12:19:22,R_3BtisOawHzoVk4O,,,,,35.7633,-78.71,anonymous,EN,18-24,Bachelor's Degree,Somewhat uncomfortable,"Yes, once",2,5,5,2,2,5,2,2,1,2,1,Social Security Number,,"Opening an account,Loan application,Credit scoring and risk assessment",Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Currently working in or pursuing a career in Tech
2024-11-08 12:19:45,2024-11-08 12:20:58,IP Address,69.250.65.87,100,73,True,2024-11-08 12:20:59,R_6HhSUVpB8aRo7cp,,,,,39.3361,-76.5389,anonymous,EN,18-24,Master's Degree,Extremely uncomfortable,"Not personally, but I know someone who has",,5,3,,5,,,,,,,Social Security Number,,Credit scoring and risk assessment,Extremely important,"Biometric ( fingerprints, facial recognition) and Behavioral(phone use patterns, etc) PIIs be compromised",Currently working in or pursuing a career in Tech
2024-11-08 12:26:30,2024-11-08 12:29:56,IP Address,71.69.163.1,100,206,True,2024-11-08 12:29:57,R_7O7lOJmeL0O8qER,,,,,35.7614,-78.6015,anonymous,EN,18-24,Master's Degree,Neither comfortable nor uncomfortable,"No, never",1,5,5,5,5,5,5,5,1,1,5,Social Security Number,,"Opening an account,Loan application",Extremely important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
2024-11-08 12:47:20,2024-11-08 12:50:51,IP Address,76.38.16.101,100,210,True,2024-11-08 12:50:52,R_638dzPMVMHNbuxj,,,,,35.7633,-78.71,anonymous,EN,25-34,Bachelor's Degree,Somewhat uncomfortable,"No, never",1,4,4,3,5,3,1,1,1,3,3,Biometric information,,"Opening an account,Loan application,Credit scoring and risk assessment,Compliance with legal obligations (e.g., anti-money laundering)",Very important,"Traditional PIIs like passwords, email, phone, etc be compromised",Currently working in or pursuing a career in Tech
